门店名称,款式,商品性质,Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售),Sum(前7天销售),Sum(前6天销售)
华浦店,长裤,正常补货,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长裤,新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,9,新款试货,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,9,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,9,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],正常补货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],停止进货,1,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,[未知],新款试货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
华浦店,长袖,清理,6,2,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,
华浦店,套头,停止进货,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套头,清理,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
华浦店,净色,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,套衫短板毛衣,清理,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,
华浦店,开衫,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖,停止进货,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,短袖,正常补货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,有领长袖,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,有领长袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,长袖短板T恤,清理,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,条纹,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,
华浦店,立领,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,正常风衣（外套）,清理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华浦店,牛仔,清理,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
华浦店,中袖,停止进货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中袖短板T恤,停止进货,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,中袖短板T恤,正常补货,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,[未知],停止进货,11,6,,,6,7,,,2,3,,,10,6,,,,,,,,,,,,,6,4,,,,,,,,,1,4
桂林2店,[未知],正常补货,12,12,,,,1,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,
桂林2店,[未知],新款试货,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
桂林2店,正常夹克,停止进货,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,,,,,,,,,,,
桂林2店,长裤,停止进货,,,,,32,22,,,,,,,,,,,,,,,11,4,,,,,,,,,,,,,,,,
